,,,,,
,,,,,
,,,,,
,,,,,
cod,estado,region,cod_agencia,nombre_agencia,rentabilidad_may
23,Zulia ,Occidente,99,San José de Perijá (99),"982.352,76"
23,Zulia ,Occidente,309,Bachaqueros (309),"221.822,36"
23,Zulia ,Occidente,249,Corpozulia (249),"-95.796,03"
23,Zulia ,Occidente,580,Sambil Maracaibo (580),"-133.770,50"
23,Zulia ,Occidente,241,Pequiven el Tablazo (241),"-137.219,59"
23,Zulia ,Occidente,536,Villa del Rosario (536),"-934.212,77"
3,Anzoategui,Oriente,63,El Tigre (63),"85.172.652,40"
3,Anzoategui,Oriente,616,Puente Real Barcelona (616),"73.654.468,06"
3,Anzoategui,Oriente,74,Puerto la Cruz (74),"10.333.166,53"
3,Anzoategui,Oriente,137,Lecherías (137),"9.080.776,88"
3,Anzoategui,Oriente,157,Aragua de Barcelona (157),"6.461.561,42"
3,Anzoategui,Oriente,79,Anáco (79),"4.738.809,21"
3,Anzoategui,Oriente,529,San Tomé (529),"4.041.430,05"
3,Anzoategui,Oriente,186,Clarines (186),"3.941.551,65"
3,Anzoategui,Oriente,88,Barcelona (88),"2.875.700,37"
3,Anzoategui,Oriente,180,Pariaguán (180),"2.486.308,99"
3,Anzoategui,Oriente,153,Puerto Píritu (153),"1.089.778,46"
3,Anzoategui,Oriente,649,Valle Guanape (649),"949.044,72"
7,Bolivar,Oriente,172,Unare (172),"277.105.167,68"
7,Bolivar,Oriente,526,Bolívar Edf. Los Chaguaramos (526),"6.949.206,38"
7,Bolivar,Oriente,130,San Félix (130),"5.375.970,82"
7,Bolivar,Oriente,620,Torre Bell (620),"5.109.649,25"
7,Bolivar,Oriente,112,Upata (112),"3.538.983,93"
7,Bolivar,Oriente,169,Maripa (169),"2.811.429,44"
7,Bolivar,Oriente,625,Guasipati (625),"2.636.719,10"
7,Bolivar,Oriente,67,Ciudad Bolívar (67),"2.540.956,49"
7,Bolivar,Oriente,114,El Callao (114),"2.333.083,42"
7,Bolivar,Oriente,129,Caicara del Orinoco (129),"2.183.184,14"
7,Bolivar,Oriente,122,Tumeremo (122),"1.871.884,67"
7,Bolivar,Oriente,223,Ciudad Guri (223),"467.383,10"
10,Delta Amacuro,Oriente,96,Tucupita (96),"23.544.911,36"
16,Monagas,Oriente,560,Maturin Av. Juncal (560),"81.072.332,63"
16,Monagas,Oriente,171,Caripito (171),"2.522.973,43"
16,Monagas,Oriente,69,Maturin (69),"1.817.522,11"
16,Monagas,Oriente,258,Maturin Av. Rivas (258),"1.381.770,79"
16,Monagas,Oriente,168,Chaguaramas de Monagas (168),"900.326,88"
16,Monagas,Oriente,220,Temblador (220),"487.038,14"
16,Monagas,Oriente,101,Punta de Mata (101),"314.467,60"
16,Monagas,Oriente,665,Maturin Av. Bolivar (665),"-5.468.705,57"
17,Nueva Esparta,Oriente,457,Boulevard Gómez (457),"33.051.460,08"
17,Nueva Esparta,Oriente,549,Porlamar Av. Bolívar (549),"6.862.097,68"
17,Nueva Esparta,Oriente,333,4 de Mayo (333),"5.459.467,10"
17,Nueva Esparta,Oriente,458,Punta de Piedras (458),"3.302.639,85"
17,Nueva Esparta,Oriente,308,Isla de Coche (308),"3.042.154,51"
17,Nueva Esparta,Oriente,151,Juan Griego (151),"2.595.126,03"
17,Nueva Esparta,Oriente,433,Virgen del Carmen (433),"1.887.962,45"
17,Nueva Esparta,Oriente,459,San Juan Bautista (459),"1.730.981,42"
17,Nueva Esparta,Oriente,242,Boca de Río (242),"1.709.951,10"
17,Nueva Esparta,Oriente,454,Paraguachí (454),"1.058.252,42"
19,Sucre,Oriente,81,Cumaná (81),"11.396.028,49"
19,Sucre,Oriente,667,C.C. Ciudad Cumaná (667),"10.624.834,72"
19,Sucre,Oriente,605,Cumaná Plaza (605),"5.625.447,33"
19,Sucre,Oriente,123,Carúpano (123),"4.575.642,55"
19,Sucre,Oriente,301,San Antonio del Golfo (301),"2.430.716,78"
19,Sucre,Oriente,134,Guiría (134),"1.726.482,16"
19,Sucre,Oriente,133,Rio Caribe (133),"1.353.927,28"
19,Sucre,Oriente,247,Cariaco (247),"1.242.931,50"
19,Sucre,Oriente,238,Araya (238),"798.755,04"
